X,Y,OBJECTID,BEHEERDER_VAKGEB,MASTTYPE,MAST_MASTCODE,WOONPLAATS,WIJK,BUURT,OPENBARE_RUIMTE,ARMATUURTYPE,LAMPTYPE
5.989576590072968,52.597744618078657,1001,,CIL AL 8M,107,Genemuiden,Wijk 01 Kamperzeedijk,Kamperzeedijk-West,Kamperzeedijk,Brisa EASY LCN 3 (Lightronics),LED
5.989915567959684,52.597884647298294,1002,,CIL AL 8M,108,Genemuiden,Wijk 01 Kamperzeedijk,Kamperzeedijk-West,Kamperzeedijk,Brisa EASY LCN 3 (Lightronics),LED
5.990361272068166,52.598023441772298,1003,,CIL AL 8M,109,Genemuiden,Wijk 01 Kamperzeedijk,Kamperzeedijk-West,Kamperzeedijk,Brisa EASY LCN 3 (Lightronics),LED
5.990882445764053,52.598066486491369,1004,,CIL AL 8M,110,Genemuiden,Wijk 01 Kamperzeedijk,Kamperzeedijk-West,Kamperzeedijk,Brisa EASY LCN 3 (Lightronics),LED
